epoch,train_loss,val_loss,val_AUROC,aspect,dataset,variant,seed,done
5,0.9702528043588002,0.7724011624675422,0.8665647170523094,A4,rel-stack,L3-skip,42,True
1,1.0304604264100392,0.7242190283944919,0.8625407041655647,A4,rel-stack,L4-skip,42,False
2,0.9925420983632406,0.7564719957077787,0.8556531243618798,A4,rel-stack,L4-skip,42,False
3,0.9768634845813116,0.756274725532248,0.846937497251016,A4,rel-stack,L4-skip,42,True
1,1.0334773576259613,0.8037475720934925,0.8563677992920612,A4,rel-stack,L6-skip,42,False
2,0.9988964486122132,0.8873552593092123,0.8570309311612055,A4,rel-stack,L6-skip,42,False
3,1.0053065399328869,0.7780674113226789,0.8557229156800217,A4,rel-stack,L6-skip,42,False
4,0.9939600735902786,0.8346074819564819,0.8672108733939005,A4,rel-stack,L6-skip,42,False
5,0.9724901566902796,0.7255154213025456,0.8650189124379816,A4,rel-stack,L6-skip,42,True
1,1.0600129468242327,0.8828150182962418,0.8545262913783955,A4,rel-stack,L8-skip,42,False
2,1.0063014034430189,0.7231186925477925,0.8567881207122532,A4,rel-stack,L8-skip,42,False
3,1.0052151244878769,0.7039554610493637,0.8647201416615605,A4,rel-stack,L8-skip,42,False
4,0.9744973975419998,0.8254188607845988,0.8587537346719925,A4,rel-stack,L8-skip,42,False
5,0.9674516741434732,0.7852469569160825,0.8624376478730896,A4,rel-stack,L8-skip,42,True
1,0.5030133860806624,0.4997395426034927,0.6332140511707075,A1,rel-trial,SAGE-MPNN-D,42,False
2,0.489010206113259,0.4921777546405792,0.6432703863044421,A1,rel-trial,SAGE-MPNN-D,42,False
3,0.4763404180606206,0.4893980920314789,0.6574055459504375,A1,rel-trial,SAGE-MPNN-D,42,False
4,0.4678844871620337,0.4833677411079407,0.6595901518502139,A1,rel-trial,SAGE-MPNN-D,42,False
5,0.4650629448393981,0.4786022752523422,0.6701200416370694,A1,rel-trial,SAGE-MPNN-D,42,False
6,0.4607447162270546,0.4816763699054718,0.6632713691537222,A1,rel-trial,SAGE-MPNN-D,42,False
7,0.4573185071349144,0.4793703258037567,0.676088617265088,A1,rel-trial,SAGE-MPNN-D,42,False
8,0.4493890168766181,0.4937433898448944,0.6572223785846076,A1,rel-trial,SAGE-MPNN-D,42,False
9,0.4493623475233714,0.4852648973464966,0.6571330286500565,A1,rel-trial,SAGE-MPNN-D,42,False
10,0.4485127118726571,0.4862933754920959,0.6673948686332587,A1,rel-trial,SAGE-MPNN-D,42,True
1,0.5016462951898575,0.5007475018501282,0.6198160284847591,A1,rel-trial,SAGE-MPNN-D,43,False
2,0.4839444359143575,0.5124762952327728,0.6455398746420419,A1,rel-trial,SAGE-MPNN-D,43,False
3,0.4755189754068851,0.49199078977108,0.6629586443827931,A1,rel-trial,SAGE-MPNN-D,43,False
4,0.4682667839030425,0.483172670006752,0.6605327936597287,A1,rel-trial,SAGE-MPNN-D,43,False
5,0.4600972061355908,0.4997827261686325,0.6607874409731994,A1,rel-trial,SAGE-MPNN-D,43,False
6,0.4583744431535403,0.4918058216571808,0.6745964733580833,A1,rel-trial,SAGE-MPNN-D,43,False
7,0.4550954314569632,0.4948294758796692,0.6719204428182757,A1,rel-trial,SAGE-MPNN-D,43,False
8,0.4516321135063966,0.4856623709201813,0.6565879940492944,A1,rel-trial,SAGE-MPNN-D,43,False
9,0.4477599523961544,0.4993959367275238,0.6647188380934511,A1,rel-trial,SAGE-MPNN-D,43,True
1,0.500181756913662,0.500078022480011,0.637136513297504,A1,rel-trial,SAGE-MPNN-D,44,False
2,0.4819136423369248,0.4873382598161697,0.6492791694030084,A1,rel-trial,SAGE-MPNN-D,44,False
3,0.474913931141297,0.4884255826473236,0.658839612399984,A1,rel-trial,SAGE-MPNN-D,44,False
4,0.4674050584435463,0.4826740324497223,0.668324107952591,A1,rel-trial,SAGE-MPNN-D,44,False
5,0.4604862183332443,0.4903799593448639,0.6665103042812021,A1,rel-trial,SAGE-MPNN-D,44,False
6,0.4608359883228938,0.4950811564922333,0.6746679533057243,A1,rel-trial,SAGE-MPNN-D,44,False
7,0.4580099719266097,0.509639248251915,0.6674708160776271,A1,rel-trial,SAGE-MPNN-D,44,False
